,countrycode
1,AF
2,AX
3,AL
4,DZ
5,AS
6,AD
7,AO
8,AI
9,AG
10,AR
11,AM
12,AW
13,AU
14,AT
15,AZ
16,BS
17,BH
18,BD
19,BB
20,BY
21,BE
22,BZ
23,BJ
24,BM
25,BT
26,BO
27,BA
28,BW
29,BR
30,VG
31,BN
32,BG
33,BF
34,BI
35,KH
36,CM
37,CA
38,CV
39,KY
40,CF
41,TD
42,CL
43,CN
44,KP
45,HK
46,CX
47,CC
48,CO
49,KM
50,CK
51,CR
52,HR
53,CU
54,CW
55,CY
56,CZ
57,CD
58,DK
59,DJ
60,DM
61,DO
62,TL
63,EC
64,EG
65,SV
66,GQ
67,ER
68,EE
69,ET
70,FK
71,FO
72,FJ
73,FI
74,FR
75,GF
76,PF
77,GA
78,GM
79,GE
80,DE
81,GH
82,GI
83,GR
84,GL
85,GD
86,GU
87,GT
88,GG
89,GN
90,GW
91,GY
92,HT
93,HN
94,HU
95,IS
96,IN
97,ID
98,IR
99,IQ
100,IE
101,IM
102,IL
103,IT
104,CI
105,JM
106,JP
107,JE
108,JO
109,KZ
110,KE
111,KI
112,XK
113,KW
114,KG
115,LA
116,LV
117,LB
118,LS
119,LR
120,LY
121,LI
122,LT
123,LU
124,MK
125,MG
126,MW
127,MY
128,MV
129,ML
130,MT
131,MH
132,MR
133,MU
134,YT
135,MX
136,FM
137,MD
138,MC
139,MN
140,ME
141,MS
142,MA
143,MZ
144,MM
145,NA
146,NR
147,NP
148,NL
149,NC
150,NZ
151,NI
152,NE
153,NG
154,NU
155,NF
156,MP
157,NO
158,OM
159,PK
160,PW
161,PS
162,PA
163,PG
164,PY
165,PE
166,PH
167,PN
168,PL
169,PT
170,PR
171,QA
172,CG
173,RO
174,RU
175,RW
176,BL
177,SH
178,KN
179,LC
180,MF
181,PM
182,VC
183,WS
184,SM
185,ST
186,SA
187,SN
188,RS
189,SC
190,SL
191,SG
192,SX
193,SK
194,SI
195,SB
196,SO
197,ZA
198,GS
199,KR
200,SS
201,ES
202,LK
203,SD
204,SR
205,SJ
206,SZ
207,SE
208,CH
209,SY
210,TW
211,TJ
212,TZ
213,TH
214,TG
215,TK
216,TO
217,TT
218,TN
219,TR
220,TM
221,TC
222,TV
223,VI
224,UG
225,UA
226,AE
227,GB
228,US
229,UY
230,UZ
231,VU
232,VA
233,VE
234,VN
235,WF
236,EH
237,YE
238,ZM
239,ZW
